qda,log,rf,tree,xgb,y_val
1.7826246602483277e-10,0.6583700806086984,0.3698080385272267,0.6285329744279946,0.06360691,0
0.9971862943420732,0.6354299377999848,0.8028945942936225,0.7200956937799043,0.9244719,1
1.0707350705494513e-06,0.39939071571010026,0.32749767976357425,0.4194506310319228,0.32042417,1
0.008148865713214716,0.5132347801153165,0.6092806871814732,0.058823529411764705,0.6783337,1
1.2931666471511633e-172,0.46499964242682945,0.3707027732958464,0.4194506310319228,0.49416092,1
3.82203060723339e-83,0.22903410417927056,0.06742898146126987,0.0,0.3377321,0
0.5256136326291265,0.6979905900486727,0.6999371460226814,0.9090909090909091,0.7316045,0
1.0957147853855116e-22,0.5558732741058765,0.761967337349456,0.7200956937799043,0.90500987,1
1.5556132646457538e-39,0.45717866648397854,0.5436526465963506,0.6126126126126126,0.07629403,0
0.14328087877711157,0.6044193340557981,0.7004310050511466,0.7200956937799043,0.8571645,1
1.4575215908683615e-25,0.46667119562290643,0.40561977708161706,0.4194506310319228,0.36455932,0
1.9057595493757526e-17,0.5419904977582631,0.31319970000198655,0.6285329744279946,0.12361816,0
0.995891882265919,0.5189496195163987,0.8473559040162957,0.6418632788868723,0.7183373,1
1.451175837061528e-87,0.6096136814012827,0.6767854462898025,0.5597014925373134,0.86845404,1
0.4160686262678585,0.36596518333466715,0.5187868469343143,0.4194506310319228,0.8711006,0
0.9999999993941666,0.4161080831710059,0.299692269466315,0.17857142857142858,0.6116133,0
6.656197356297362e-31,0.49416682439094534,0.2658391286321163,0.32554945054945056,0.064951934,0
9.938370544244777e-33,0.460914970995342,0.6408268636696727,1.0,0.9131763,1
1.7948019884104777e-52,0.45189311303253804,0.5629450998204671,0.0,0.71242297,1
1.5046332865423683e-50,0.319701982017832,0.08641425593913965,0.0,0.022787552,0
5.959168971853188e-89,0.7862415485417559,0.3504384847931646,0.0,0.22184342,0
8.297461424645898e-38,0.449697478490071,0.3381509867212126,0.4194506310319228,0.15408358,0
1.2904821488711596e-17,0.5948233773376541,0.7265678726317781,0.7200956937799043,0.97907627,1
2.5621582375768682e-48,0.537657405910908,0.4664817054966165,0.7200956937799043,0.08264154,0
1.6603553091083276e-18,0.48326690301991326,0.38412230592704033,0.6285329744279946,0.12351427,0
1.5542979096617398e-17,0.2342003230398576,0.783342278161331,1.0,0.81976914,0
5.2041497918632607e-05,0.601540525534002,0.14932887772797293,0.0,0.018235125,0
5.878740700522731e-11,0.5685515630596615,0.550799499185373,0.7200956937799043,0.20358121,0
1.3278735964068678e-17,0.5958104340566104,0.8073981294744098,0.7200956937799043,0.9616465,1
5.435979031716143e-24,0.3166267632697692,0.5089816609764999,1.0,0.934876,0
4.793547665121378e-05,0.6170982151997483,0.8294353119964681,0.6418632788868723,0.9677747,1
4.3004803206560646e-05,0.6211834985276781,0.5828837639673867,0.7200956937799043,0.39565405,1
5.502682670398125e-20,0.44707579653330126,0.7586003605378414,0.6126126126126126,0.9824095,1
4.308606148681434e-38,0.6884001786557352,0.39151594847678794,1.0,0.39347133,1
4.289420499759047e-06,0.5669821763103605,0.2533404274498418,0.0,0.21586192,1
3.6004117717925974e-46,0.3712007397791979,0.13795528980819158,0.4194506310319228,0.034685522,0
0.051625528572410824,0.6087543964232459,0.7983779790591801,0.6418632788868723,0.964056,1
0.9448598730751956,0.6067046803986931,0.5582854268914559,0.7368421052631579,0.4410136,1
1.9376331825443326e-165,0.43344945262219,0.03391110588086259,0.2,0.011409176,0
0.00023773159747067637,0.4945269122678168,0.40074793486803595,0.7777777777777778,0.43280497,0
1.0104181848761274e-09,0.6682005470801156,0.7461710312524608,0.6285329744279946,0.8145893,1
0.00020290721172210082,0.37127861372794296,0.39249969438233523,0.4194506310319228,0.18654363,0
3.823910786532988e-06,0.5506813585571606,0.5466422166635645,0.711340206185567,0.3565551,0
0.004338298126840737,0.7505643906064914,0.9089698848190382,1.0,0.9969735,1
0.16508299201026158,0.5129946663782029,0.3574405132834037,0.5107238605898123,0.0757292,0
0.012626455862554155,0.5660424464808462,0.6872545603063004,0.7200956937799043,0.737738,1
1.0247653621796654e-16,0.512174335265273,0.4759919054638583,0.5,0.4766208,1
0.9950125228624599,0.5929169883018235,0.1645728874008034,0.0,0.1438401,0
2.5327445433339705e-20,0.6233300680720537,0.665054807401259,0.7200956937799043,0.82873434,1
0.7394145817253973,0.3733404388167598,0.5196536726070764,0.4194506310319228,0.83243996,1
1.8523847334292258e-17,0.40813804222784716,0.4057896399823675,0.5077519379844961,0.59378314,1
8.950971485211641e-14,0.47102026095846644,0.836837724951956,0.6418632788868723,0.94986606,1
1.884936789175499e-122,0.46162949164092915,0.15293683144847406,0.2,0.051040452,0
0.003457219770984603,0.4694200083775608,0.554175752006496,0.4194506310319228,0.39441293,1
2.915806727427319e-08,0.4196748789247277,0.24261034460611883,0.358974358974359,0.052163024,0
7.037952975206943e-105,0.7495400448083198,0.29527024309811195,0.0,0.1431931,1
0.00024052527228001294,0.6458648398784737,0.13193589223746297,0.0,0.019033847,0
4.067411960716426e-21,0.6086781774665407,0.917211681884634,1.0,0.9857927,1
7.239175220619584e-42,0.18230764294300836,0.04282192059840386,0.0,0.051919002,0
0.9991405466147538,0.7407315120409704,0.9225140727116721,1.0,0.97657394,1
2.813110841331861e-07,0.4830061550747058,0.2870497715802415,0.4194506310319228,0.031299163,0
5.432661122484828e-09,0.629256560697136,0.6803006002090346,0.6280487804878049,0.79717827,1
0.08747105001316029,0.6465006417695661,0.7053361887466012,0.4605263157894737,0.2830817,0
0.5373229080466088,0.5388910790828397,0.7502798438717706,0.5107238605898123,0.9630392,1
1.6687913604123304e-45,0.6586659387496051,0.5782552116204461,0.41237113402061853,0.17815936,1
0.9999998784979823,0.5914161495095657,0.3932127449282305,0.6418632788868723,0.084212385,0
1.171939020001498e-09,0.4416435112191644,0.25325589948084165,0.4194506310319228,0.05112107,0
4.5140697894823996e-12,0.5810231591343118,0.7336266015210445,0.711340206185567,0.9474822,1
8.482975040676625e-05,0.40243515638420846,0.11223706731628505,0.0,0.15055306,0
0.9976450276193458,0.4245591641636604,0.6253536352660525,1.0,0.8386676,1
5.226150596663012e-12,0.34099226725691933,0.4039315067018107,1.0,0.8612586,0
1.522282160507083e-08,0.581616949910531,0.7983840061431681,0.38095238095238093,0.60750145,1
0.8441322872723224,0.5722379378390847,0.6605303413263657,0.7200956937799043,0.6986887,0
0.06970523407693378,0.6435025073812065,0.8037688351960907,1.0,0.9837419,1
1.0396159104287321e-88,0.6964615540805531,0.3077877458030122,0.5597014925373134,0.22591473,1
5.314822216760652e-05,0.6807768820681646,0.23327364872056652,0.8433734939759037,0.109370925,0
2.1263313681329737e-05,0.7368676059202821,0.9266352875762844,0.9090909090909091,0.9132128,1
